City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Brae,GB,60.3964,-1.353,46.08,74,36,16.69,light rain
312,Palmer,US,42.1584,-72.3287,69.17,58,76,5.01,broken clouds
313,Mareeba,AU,-17.0,145.4333,67.44,87,3,2.01,clear sky
314,Bubaque,GW,11.2833,-15.8333,79.59,84,88,13.44,moderate rain
315,Tateyama,JP,34.9833,139.8667,69.1,89,100,25.12,moderate rain
316,Kolaras,IN,25.2333,77.6,90.86,25,74,8.77,broken clouds
317,Rock Springs,US,41.5875,-109.2029,80.04,15,0,10.36,clear sky
318,Caravelas,BR,-17.7125,-39.2481,70.9,78,3,7.11,clear sky
319,Apatin,RS,45.6711,18.9847,60.76,63,36,3.8,scattered clouds
320,Sola,VU,-13.8833,167.55,81.09,77,45,15.21,scattered clouds
321,Benguela,AO,-12.5763,13.4055,69.66,88,33,4.76,scattered clouds
322,Ambilobe,MG,-13.2,49.05,69.82,90,68,2.57,broken clouds
323,Tyup,KG,42.7276,78.3648,54.7,48,1,4.18,clear sky
324,Margate,GB,51.3813,1.3862,59.88,81,57,5.01,broken clouds
325,Ust-Ilimsk,RU,58.0006,102.6619,38.57,79,34,4.07,scattered clouds
326,Oia,PT,40.5426,-8.5386,68.4,76,27,4.12,scattered clouds
327,Coahuayana,MX,18.7333,-103.6833,87.35,56,94,8.19,overcast clouds
328,Alpena,US,45.0617,-83.4327,79.12,53,75,6.91,broken clouds
329,Gravelbourg,CA,49.8834,-106.5512,74.05,22,91,9.53,overcast clouds
330,Keuruu,FI,62.2667,24.7,46.8,97,100,1.72,overcast clouds
331,Kysyl-Syr,RU,63.8986,122.7617,34.92,65,99,10.11,overcast clouds
332,Maumee,US,41.5628,-83.6538,70.52,91,40,8.05,scattered clouds
333,Lakselv,NO,70.0513,24.9718,53.42,50,40,6.91,scattered clouds
334,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,88,100,6.91,overcast clouds
335,La Ronge,CA,55.1001,-105.2842,55.6,49,89,6.04,overcast clouds
336,Ferrol,ES,43.4832,-8.2369,61.32,79,73,9.86,broken clouds
337,Krutikha,RU,53.9599,81.2093,55.71,60,0,6.55,clear sky
338,Leh,IN,34.1667,77.5833,49.96,40,98,6.02,overcast clouds
339,Kyaukse,MM,21.6,96.1333,78.75,75,2,7.47,clear sky
340,Palana,RU,59.1167,159.9667,37.13,91,100,3.13,light rain
341,Aktash,RU,50.3,87.7333,45.36,83,100,1.83,overcast clouds
342,Yerbogachen,RU,61.2767,108.0108,38.05,64,33,9.62,scattered clouds
